date,stadium,latitude,longitude,temperature_2m_mean,precipitation_sum,windspeed_10m_max
2014-10-21,Spotify Camp Nou,41.3809,2.1228,20.3,0.0,10.8
2014-10-21,Veltins-Arena,51.5542,7.0678,11.6,9.0,31.2
2014-10-21,Stamford Bridge,51.4816,-0.191,11.8,1.3,38.5
2014-10-21,Borisov-Arena,54.2482,28.5,9.2,1.6,26.2
2014-10-21,Estádio do Dragão,41.1614,-8.5835,21.2,0.0,8.6
2014-10-22,Stadio Georgios Karaiskakis,37.9368,23.6689,19.7,0.0,18.0
2014-10-22,Vicente Calderón,40.3992,-3.7185,16.6,0.0,11.5
2014-10-22,Anfield,53.4308,-2.9608,10.6,0.8,42.1
2014-10-22,Vasil Levski,42.6952,23.3394,14.5,0.0,16.4
2014-10-22,Stade Louis-II,43.727,7.4155,17.2,6.1,16.8
2014-10-22,BayArena,51.0383,7.0022,8.8,2.4,29.5
2014-10-22,Constant Vanden Stock Stadion,50.8339,4.3014,9.7,0.9,30.0
2014-10-22,Ali Sami Yen Spor Kompleksi RAMS Park,41.0765,28.9834,17.7,0.0,23.6
2014-11-04,Petrovsky,59.956,30.249,7.5,0.2,25.4
2014-11-04,Eleda Stadion,55.5927,12.9895,12.3,0.7,32.3
2014-11-04,Allianz Stadium,45.1096,7.6412,9.5,47.4,11.6
2014-11-04,Santiago Bernabéu,40.4531,-3.6883,8.8,8.0,22.9
2014-11-04,St. Jakob-Park,47.542,7.6208,9.6,4.6,9.6
2014-11-04,Estádio da Luz,38.7527,-9.1846,13.9,5.0,33.9
2014-11-04,SIGNAL IDUNA PARK,51.4926,7.4519,10.7,17.4,30.7
2014-11-04,Emirates Stadium,51.5549,-0.1084,7.5,2.9,11.3
2014-11-05,Etihad Stadium,53.4831,-2.2004,5.7,0.0,14.1
2014-11-05,Allianz Arena,48.2188,11.6247,8.7,6.7,15.8
2014-11-05,Johan Cruijff ArenA,52.3143,4.9411,8.7,0.1,9.4
2014-11-05,Parc des Princes,48.8414,2.253,7.7,0.0,15.4
2014-11-05,Ljudski Vrt,46.5574,15.636,14.2,0.0,19.1
2014-11-05,Estádio José Alvalade,38.7612,-9.1605,14.5,0.0,25.2
2014-11-05,San Mamés,43.2641,-2.9495,11.4,2.5,25.8
2014-11-05,Arena Lviv,49.7906,23.9503,9.7,0.0,20.2
2014-11-25,Arena Khimki,55.8918,37.3601,-4.2,0.0,13.4
2014-11-25,Borisov-Arena,54.2482,28.5,-3.1,0.0,17.7
2014-11-25,Etihad Stadium,53.4831,-2.2004,2.2,0.0,10.6
2014-11-25,GSP Stadium,35.1649,33.3649,12.3,7.6,16.5
2014-11-25,Parc des Princes,48.8414,2.253,,,
2014-11-25,Veltins-Arena,51.5542,7.0678,3.4,0.0,13.7
2014-11-25,Estádio José Alvalade,38.7612,-9.1605,14.6,0.0,20.5
2014-11-25,Arena Lviv,49.7906,23.9503,-0.1,0.0,20.0
2014-11-26,Eleda Stadion,55.5927,12.9895,5.2,0.0,11.3
2014-11-26,Vicente Calderón,40.3992,-3.7185,10.2,0.0,11.3
2014-11-26,St. Jakob-Park,47.542,7.6208,8.9,2.1,6.9
2014-11-26,Vasil Levski,42.6952,23.3394,-0.7,0.0,6.6
2014-11-26,BayArena,51.0383,7.0022,4.7,1.1,21.0
2014-11-26,Emirates Stadium,51.5549,-0.1084,8.1,1.0,10.6
2014-11-26,Constant Vanden Stock Stadion,50.8339,4.3014,7.2,3.7,12.3
2014-12-09,Allianz Stadium,45.1096,7.6412,5.0,5.3,8.9
2014-12-09,Stadio Georgios Karaiskakis,37.9368,23.6689,12.7,3.7,10.5
2014-12-09,Anfield,53.4308,-2.9608,6.4,5.9,39.9
2014-12-09,Santiago Bernabéu,40.4531,-3.6883,5.0,0.0,21.2
2014-12-09,Stade Louis-II,43.727,7.4155,9.3,6.5,20.2
2014-12-09,Estádio da Luz,38.7527,-9.1846,12.0,0.0,27.2
2014-12-09,Ali Sami Yen Spor Kompleksi RAMS Park,41.0765,28.9834,11.7,1.0,13.0
2014-12-09,SIGNAL IDUNA PARK,51.4926,7.4519,2.5,0.1,19.1
2014-12-10,Olimpico di Roma,41.9335,12.4544,7.9,0.0,16.5
2014-12-10,Allianz Arena,48.2188,11.6247,0.5,0.3,14.8
2014-12-10,Spotify Camp Nou,41.3809,2.1228,6.8,0.0,10.3
2014-12-10,Johan Cruijff ArenA,52.3143,4.9411,6.6,5.6,37.0
2014-12-10,Ljudski Vrt,46.5574,15.636,1.4,0.0,11.5
2014-12-10,Stamford Bridge,51.4816,-0.191,7.2,0.7,33.2
2014-12-10,Estádio do Dragão,41.1614,-8.5835,8.3,0.0,12.4
2014-12-10,San Mamés,43.2641,-2.9495,11.0,1.3,19.2
2014-11-26,Petrovsky,59.956,30.249,-1.1,0.0,15.0
2015-02-17,Parc des Princes,48.8414,2.253,6.2,0.0,22.9
2015-02-24,Etihad Stadium,53.4831,-2.2004,4.1,4.8,34.3
2015-02-25,BayArena,51.0383,7.0022,3.7,2.0,18.7
2015-02-24,Allianz Stadium,45.1096,7.6412,3.0,0.0,7.6
2015-02-18,Veltins-Arena,51.5542,7.0678,2.2,0.0,12.0
2015-02-17,Arena Lviv,49.7906,23.9503,-5.5,0.0,24.2
2015-02-25,Emirates Stadium,51.5549,-0.1084,6.5,0.4,14.9
2015-02-18,St. Jakob-Park,47.542,7.6208,0.5,0.0,9.0
2015-03-11,Stamford Bridge,51.4816,-0.191,6.1,0.0,18.7
